Time,solar
1778045751.0969121,0.48
1778045752.0959847,0.48
1778045753.1155536,0.48
1778045754.1137664,0.48
1778045755.1131713,0.48
1778045756.1136339,0.48
1778045757.1136951,0.48
1778045758.0944383,0.86
1778045759.0973935,1.65
1778045760.099162,1.67
1778045761.0995934,1.67
1778045762.0973995,1.67
1778045763.0973928,1.67
1778045764.1116338,1.67
1778045765.1094544,1.60
1778045766.1082995,1.54
1778045767.1081202,1.45
1778045768.1115513,1.45
1778045769.129946,1.45
1778045770.0980256,1.43
1778045771.1043706,1.44
1778045772.113769,1.44
1778045773.1329374,1.44
1778045774.1160314,1.43
1778045775.096657,1.36
1778045776.0956867,1.48
1778045777.1176865,1.47
1778045778.1773038,1.47
1778045779.116074,1.47
1778045780.1090019,1.46
1778045781.100088,1.47
