Time,solar
1778049533.1206489,0.94
1778049534.1125805,0.99
1778049535.1013207,0.96
1778049536.1106577,0.95
1778049537.0990646,0.90
1778049538.110112,0.92
1778049539.1174994,0.92
1778049540.1035962,0.96
1778049541.1151931,0.93
1778049542.1003704,0.91
1778049543.1075013,0.93
1778049544.1146114,0.92
1778049545.0999372,0.96
1778049546.1168797,0.94
1778049547.106482,1.02
1778049548.1143467,0.99
1778049549.0960782,0.90
1778049550.0967991,0.97
1778049551.0997822,1.04
1778049552.1040747,0.86
1778049553.1118855,0.85
1778049554.1154892,0.86
1778049555.096912,0.68
1778049556.1020885,0.74
1778049557.1063976,0.77
1778049558.111234,0.77
1778049559.1106644,0.73
1778049560.1179507,0.77
1778049561.1012437,0.81
1778049562.107035,0.79
1778049563.1143646,0.80
