Time,solar
1778021989.8211231,0.86
1778021990.1001031,0.85
1778021990.3430057,0.85
1778021990.581879,0.85
1778021990.8359783,0.85
1778021991.078274,0.85
1778021991.3432872,0.85
1778021991.5864964,0.85
1778021991.8322873,0.85
1778021992.0960553,0.85
1778021992.382089,0.85
1778021992.632422,0.85
1778021992.8550134,0.85
1778021993.075907,0.85
1778021993.3167937,0.85
1778021993.5523858,0.86
1778021993.774764,0.86
1778021993.9924078,0.85
1778021994.2103617,0.85
1778021994.4278772,0.85
1778021994.6484482,0.86
1778021994.8663664,0.85
1778021995.0843134,0.85
1778021995.3318248,0.85
1778021995.5790958,0.85
1778021995.7985165,0.85
1778021996.065472,0.85
1778021996.3032248,0.86
1778021996.536127,0.86
1778021996.8732295,0.87
1778021997.1214433,0.87
1778021997.3398674,0.87
1778021997.5651114,0.87
1778021997.805967,0.87
1778021998.0379863,0.87
1778021998.2631705,0.88
1778021998.4801164,0.87
1778021998.7457585,0.87
1778021999.0105684,0.87
1778021999.237573,0.87
1778021999.45305,0.87
1778021999.6818686,0.87
1778021999.9049563,0.87
1778022000.1277516,0.87
1778022000.352314,0.87
1778022000.5904684,0.87
1778022000.8241584,0.87
1778022001.040809,0.87
1778022001.2606514,0.87
1778022001.4856756,0.87
1778022001.7034743,0.87
1778022001.9172878,0.87
1778022002.1342802,0.87
1778022002.3499928,0.86
1778022002.5784335,0.85
1778022002.8141944,0.86
1778022003.0477834,0.88
1778022003.2756882,0.88
1778022003.4986975,0.87
1778022003.7335851,0.87
1778022003.9838228,0.88
1778022004.2206666,0.88
1778022004.453639,0.88
1778022004.6840634,0.88
1778022004.9210043,0.88
1778022005.161766,0.88
1778022005.4345586,0.88
1778022005.6778862,0.88
1778022005.8984268,0.88
1778022006.1277175,0.88
1778022006.3537977,0.88
1778022006.5738208,0.88
1778022006.789778,0.87
1778022007.007394,0.88
1778022007.224667,0.87
1778022007.4412704,0.88
1778022007.6818554,0.88
1778022007.909222,0.87
1778022008.1371362,0.87
1778022008.3723667,0.87
1778022008.5958204,0.87
1778022008.8131232,0.87
1778022009.0289516,0.86
1778022009.2549186,0.87
1778022009.478386,0.88
1778022009.7422612,0.89
1778022009.9758995,0.88
1778022010.1934423,0.88
1778022010.4138813,0.88
1778022010.635029,0.87
1778022010.8659806,0.87
1778022011.0870612,0.87
1778022011.318295,0.87
1778022011.5429087,0.87
1778022011.7942011,0.87
1778022012.0561392,0.87
1778022012.2815812,0.87
1778022012.4968379,0.87
1778022012.7286205,0.87
1778022012.9604194,0.87
1778022013.1804512,0.87
1778022013.395782,0.87
1778022013.610596,0.86
1778022013.8256035,0.87
1778022014.0418072,0.87
1778022014.256223,0.87
1778022014.4710045,0.88
1778022014.6862874,0.88
1778022014.9011843,0.89
1778022015.1165373,0.89
1778022015.3291254,0.89
1778022015.543207,0.89
1778022015.7644398,0.89
1778022015.9898157,0.89
1778022016.217507,0.89
1778022016.4360332,0.89
1778022016.649922,0.87
1778022016.8686385,0.87
1778022017.0901175,0.88
1778022017.329128,0.88
1778022017.5570285,0.87
1778022017.7809644,0.86
1778022018.0534334,0.84
1778022018.3239608,0.85
1778022018.5601752,0.85
1778022018.7757685,0.85
1778022019.0500968,0.84
1778022019.309488,0.84
1778022019.528071,0.84
1778022019.7463033,0.84
1778022019.966792,0.84
1778022020.1855037,0.84
1778022020.4493904,0.84
1778022020.6942637,0.83
1778022020.9139535,0.83
1778022021.132982,0.83
1778022021.3504562,0.83
