Time,temp
1778040188.3837154,30.62
1778040188.508222,30.62
1778040188.633519,30.62
1778040188.7571218,30.62
1778040188.888131,30.56
1778040189.0112448,30.56
1778040189.136991,30.50
1778040189.2626758,30.50
1778040189.390396,30.50
1778040189.5144465,30.50
1778040189.637776,30.56
1778040189.7632546,30.56
1778040189.8871758,30.44
1778040190.0109081,30.44
1778040190.1334999,30.50
1778040190.2585485,30.50
1778040190.3837829,30.38
1778040190.5261533,30.44
1778040190.6931129,30.44
1778040190.847791,30.38
1778040190.9873524,30.38
1778040191.1088145,30.31
1778040191.2315454,30.31
1778040191.3565164,30.38
1778040191.4776118,30.38
1778040191.596906,30.19
1778040191.7204087,30.19
1778040191.8427413,30.19
1778040191.9637742,30.19
1778040192.087021,30.19
1778040192.209292,30.19
1778040192.3301442,30.19
1778040192.4503565,30.19
1778040192.5744956,30.12
1778040192.700132,30.12
1778040192.8248665,30.06
1778040192.9498231,30.06
1778040193.079554,30.06
1778040193.1989715,30.06
1778040193.3215432,30.00
1778040193.4429479,30.00
1778040193.5654132,30.00
1778040193.6872427,30.00
1778040193.8098538,29.94
1778040193.9352615,29.94
1778040194.0572174,29.94
1778040194.1796737,29.94
1778040194.3013875,30.00
1778040194.4253895,30.00
1778040194.5481894,29.88
1778040194.6679711,29.88
1778040194.7904003,29.81
1778040194.9129083,29.81
1778040195.0362594,29.88
1778040195.1563199,29.88
1778040195.2860482,29.81
1778040195.4072683,29.81
1778040195.5331314,29.69
1778040195.6647813,29.69
1778040195.7852252,29.69
1778040195.9141989,29.69
1778040196.0529659,29.69
1778040196.1833508,29.62
1778040196.3142521,29.62
1778040196.436242,29.56
1778040196.5644767,29.56
1778040196.6838443,29.56
1778040196.8082597,29.56
1778040196.931584,29.44
1778040197.064251,29.44
1778040197.1970081,29.44
1778040197.3200004,29.44
1778040197.4432611,29.38
1778040197.5633228,29.38
1778040197.684205,29.38
1778040197.8155284,29.38
1778040197.9562428,29.38
1778040198.088936,29.38
1778040198.208042,29.31
1778040198.3321614,29.31
1778040198.4626875,29.25
1778040198.5828516,29.25
1778040198.7062244,29.25
1778040198.8350275,29.25
1778040198.954308,29.38
1778040199.086037,29.38
1778040199.216221,29.31
1778040199.3363104,29.31
1778040199.4558446,29.19
1778040199.577948,29.19
1778040199.697498,29.19
1778040199.8202932,29.19
1778040199.9409497,29.31
1778040200.0651984,29.31
1778040200.1866574,29.06
1778040200.3066845,29.06
1778040200.4340153,29.06
1778040200.5585165,29.06
1778040200.6812742,29.06
1778040200.8137848,29.06
1778040200.9422255,29.06
1778040201.0727398,29.06
1778040201.2034235,29.00
1778040201.3326974,29.00
1778040201.4642751,29.00
1778040201.5871952,29.12
1778040201.717531,29.12
1778040201.8525977,29.06
1778040201.9860885,29.06
1778040202.118354,28.88
1778040202.2461236,28.88
1778040202.380068,28.88
1778040202.5152018,28.88
1778040202.643221,28.88
1778040202.7714167,28.88
1778040202.8919377,28.94
1778040203.0152085,28.94
1778040203.1394644,28.75
1778040203.2623405,28.75
1778040203.3855846,28.88
1778040203.5166671,28.88
1778040203.6388288,28.75
1778040203.759836,28.75
1778040203.882485,28.81
1778040204.0128927,28.81
1778040204.1434157,28.75
1778040204.2634065,28.75
1778040204.3878036,28.75
1778040204.508979,28.75
1778040204.6378398,28.62
1778040204.7587907,28.62
1778040204.8826425,28.62
1778040205.0055022,28.62
1778040205.1270018,28.62
1778040205.2472498,28.62
1778040205.379294,28.62
1778040205.4984868,28.62
1778040205.6197717,28.56
1778040205.742243,28.56
1778040205.8778281,28.56
1778040206.0027506,28.56
1778040206.130444,28.50
1778040206.250569,28.50
1778040206.3729234,28.44
1778040206.4971745,28.38
1778040206.6216736,28.38
1778040206.7450373,28.44
1778040206.866342,28.44
1778040206.991306,28.50
1778040207.1186876,28.50
1778040207.2460327,28.31
1778040207.3732255,28.31
1778040207.4995632,28.38
1778040207.6216865,28.38
1778040207.7430198,28.44
1778040207.8679752,28.44
1778040207.9907944,28.38
1778040208.1163847,28.38
1778040208.2403917,28.31
1778040208.3623345,28.31
1778040208.4835944,28.25
1778040208.6116917,28.25
1778040208.735118,28.19
1778040208.8580258,28.19
1778040208.994381,28.19
1778040209.1229,28.19
1778040209.2476535,28.19
1778040209.3707905,28.19
1778040209.4918544,28.06
1778040209.6147351,28.06
1778040209.7398756,28.19
1778040209.869414,28.19
1778040209.9986243,28.12
1778040210.1211655,28.12
1778040210.2459836,28.06
1778040210.3719234,28.06
1778040210.5031722,28.06
1778040210.6235166,28.06
1778040210.7483623,28.06
1778040210.870963,28.06
1778040210.9943562,27.94
1778040211.1171894,27.94
1778040211.2450583,27.94
1778040211.3684556,27.94
1778040211.499759,27.88
1778040211.6231546,27.88
1778040211.7446394,28.00
1778040211.8680243,28.00
1778040211.987463,28.00
1778040212.1119328,28.00
1778040212.2354536,27.94
1778040212.3581793,27.94
1778040212.4924698,27.94
1778040212.613098,27.94
1778040212.7345953,27.81
1778040212.860493,27.81
1778040212.9820402,27.88
1778040213.1127715,27.88
1778040213.2517407,27.81
1778040213.3717015,27.88
1778040213.4909394,27.88
1778040213.6116612,27.88
1778040213.7346768,27.81
1778040213.8564672,27.81
1778040213.97757,27.88
1778040214.099609,27.88
1778040214.222446,27.81
1778040214.3445616,27.81
1778040214.4686513,27.75
1778040214.5935621,27.75
1778040214.7165956,27.69
1778040214.8399923,27.69
1778040214.9622347,27.75
